store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000013,ブルガズ アダ,BURGAZ ADA,3.77,236,1000,1999,15000,19999,1000,1999,20000,29999,asia,https://tabelog.com/tokyo/A1307/A130702/13055381/,https://tabelog.com/en/tokyo/A1307/A130702/13055381/,東京都港区麻布十番3-7-4 麻布六堂　３Ｆ,35.653739,139.7350059,東京都,Azabujuban Minato City Tokyo,Tokyo,http://www.burgazada.jp
00000014,アロマズ オブ インディア,AROMAS of INDIA,3.62,449,1000,999,2000,2999,1000,1999,2000,2999,asia,https://tabelog.com/tokyo/A1310/A131002/13193476/,https://tabelog.com/en/tokyo/A1310/A131002/13193476/,東京都千代田区神田須田町1-21-4 神田NKビル B1F・1F,35.6968713,139.7693313,東京都,1-chome-21-4 Kanda Sudacho Chiyoda City Tokyo-to,Tokyo,
00000015,バンゲラズキッチン,Bangera's Kitchen,3.68,1285,1000,1999,5000,5999,1000,1999,8000,9999,asia,https://tabelog.com/tokyo/A1301/A130101/13217211/,https://tabelog.com/en/tokyo/A1301/A130101/13217211/,東京都中央区銀座西2-2 銀座インズ2 2F,35.6746552,139.7647909,東京都,Tokyo 中央区Ginza 西２丁目２番地先,Tokyo,http://www.bangeras-kitchen.com/
00000016,SPICE LAB TOKYO,SPICE LAB TOKYO,3.68,338,5000,5999,15000,19999,8000,9999,20000,29999,asia,https://tabelog.com/tokyo/A1301/A130101/13240579/,https://tabelog.com/en/tokyo/A1301/A130101/13240579/,東京都中央区銀座6-4-3 GICROS GINZA GEMS 10F,35.6716023,139.7619734,東京都,6 Chome-4 Ginza Chuo City Tokyo,Tokyo,https://spicelabtokyo.com
00000017,サンサール 新宿店,Sansaru,3.66,614,1000,999,1000,1999,1000,1999,1000,1999,asia,https://tabelog.com/tokyo/A1304/A130401/13006805/,https://tabelog.com/en/tokyo/A1304/A130401/13006805/,東京都新宿区新宿6-13-8,35.6949529,139.7085094,東京都,6-chome-13-8 Shinjuku Shinjuku City Tokyo-to,Tokyo,http://www.san-sar.info/
00000018,エリックサウス 八重洲店,ERICK SOUTH,3.71,2235,1000,1999,1000,1999,1000,1999,1000,1999,asia,https://tabelog.com/tokyo/A1302/A130202/13130363/,https://tabelog.com/en/tokyo/A1302/A130202/13130363/,東京都中央区八重洲2-1 八重洲地下街 中4号 (八重洲地下二番通り),35.6797231,139.7704345,東京都,3-chome-2-1 Yaesu Chuo City Tokyo-to,Tokyo,http://www.enso.ne.jp/erick-south
00000019,カレーリーブス カフェ＆レストラン,Curry Leaves Cafe&Restaurant,3.56,190,1000,1999,2000,2999,1000,1999,1000,1999,asia,https://tabelog.com/tokyo/A1312/A131201/13274212/,https://tabelog.com/en/tokyo/A1312/A131201/13274212/,東京都墨田区錦糸3-13-1,35.6993633,139.8141268,東京都,3-chome-13-1 Kinshi Sumida City Tokyo,Tokyo,https://www.curryleaves.jp/
00000020,韓灯,Handung,3.66,298,1000,1999,6000,7999,1000,1999,8000,9999,asia,https://tabelog.com/tokyo/A1313/A131302/13019721/,https://tabelog.com/en/tokyo/A1313/A131302/13019721/,東京都中央区月島2-8-12 AS ONE月島 B1F,35.6633022,139.7847088,東京都,2-chome-8-12 Tsukishima Chuo City Tokyo-to,Tokyo,https://handung.com/
00000021,ベンガル料理プージャー,Puja,3.68,371,1000,1999,2000,2999,1000,1999,2000,2999,asia,https://tabelog.com/tokyo/A1324/A132401/13036794/,https://tabelog.com/en/tokyo/A1324/A132401/13036794/,東京都荒川区町屋3-2-1 ライオンズプラザ町屋　Ｂ１Ｆ,35.7460785,139.7822621,東京都,3 Chome-2-1 Machiya Arakawa City Tokyo-to,Tokyo,
00000022,アジャンタ,AJANTA,3.70,1337,1000,1999,3000,3999,1000,1999,2000,2999,asia,https://tabelog.com/tokyo/A1308/A130803/13000438/,https://tabelog.com/en/tokyo/A1308/A130803/13000438/,東京都千代田区二番町3-11,35.6861406,139.7369243,東京都,3-11 Nibancho Chiyoda City Tokyo-to,Tokyo,http://www.ajanta.com/
00000023,ラヒ パンジャービー･キッチン,Rahi Punjabi Kitchen,3.62,268,1000,1999,3000,3999,1000,1999,2000,2999,asia,https://tabelog.com/tokyo/A1319/A131907/13051190/,https://tabelog.com/en/tokyo/A1319/A131907/13051190/,東京都杉並区西荻南3-15-17 2F,35.7031403,139.6015966,東京都,3-chome-15-17 Nishiogiminami Suginami City Tokyo-to,Tokyo,http://rahi.jp/contents/index_h.html
00000024,エリックサウス 高円寺カレー＆ビリヤニセンター,ERICK SOUTH KOENJI CURRY&BIRYANI CENTRE,3.63,394,1000,1999,2000,2999,1000,1999,1000,1999,asia,https://tabelog.com/tokyo/A1319/A131904/13245273/,https://tabelog.com/en/tokyo/A1319/A131904/13245273/,東京都杉並区高円寺南4-49-1,35.705342,139.6513373,東京都,4-chome-49-1 Koenjiminami Suginami City Tokyo-to,Tokyo,https://erick-south.com/koenji/?utm_source=google&utm_medium=meo
00000025,okudo 東京,Okudotoukyou,3.59,389,1000,999,3000,3999,1000,1999,5000,5999,asia,https://tabelog.com/tokyo/A1304/A130402/13174128/,https://tabelog.com/en/tokyo/A1304/A130402/13174128/,東京都新宿区新宿1-15-14 オムニビル 1F,35.6899074,139.710584,東京都,Shinjuku Shinjuku City Tokyo,Tokyo,http://okudotokyo.jp/
00000026,ミ・レイ,Mirei,3.69,524,1000,999,3000,3999,1000,1999,3000,3999,asia,https://tabelog.com/tokyo/A1315/A131503/13003307/,https://tabelog.com/en/tokyo/A1315/A131503/13003307/,東京都大田区蒲田5-1-4 関根ビル　２Ｆ,35.5641381,139.7170177,東京都,5-chome-1-4 Kamata Ota City Tokyo-to,Tokyo,
00000027,すぱいす暮らし,Supaisukurashi,3.59,158,1000,999,3000,3999,1000,1999,3000,3999,asia,https://tabelog.com/tokyo/A1317/A131702/13195314/,https://tabelog.com/en/tokyo/A1317/A131702/13195314/,東京都目黒区鷹番2-20-14,35.6293501,139.6862646,東京都,2-chome-20-14 Takaban Meguro City Tokyo-to,Tokyo,
00000028,ゼロワンカレーA.o.D,ZERO ONE CURRY A.o.D,3.75,973,1000,1999,2000,2999,2000,2999,3000,3999,asia,https://tabelog.com/tokyo/A1314/A131402/13239329/,https://tabelog.com/en/tokyo/A1314/A131402/13239329/,東京都港区三田3-2-9 杉浦ビル 1F,35.6473992,139.7433483,東京都,3-chome-2-9 Mita Minato City Tokyo-to,Tokyo,
00000029,アンジュナ,Anjuna,3.65,387,1000,1999,2000,2999,1000,1999,1000,1999,asia,https://tabelog.com/tokyo/A1329/A132903/13006010/,https://tabelog.com/en/tokyo/A1329/A132903/13006010/,東京都日野市高幡3-7 ユニバーサルビル　１Ｆ,35.6622495,139.4123141,東京都,3-7 Takahata Hino Tokyo-to,Tokyo,http://anjunacurry.blog.fc2.com/
00000030,李南河 代官山店,Rinanha,3.61,362,1000,1999,10000,14999,1000,1999,15000,19999,asia,https://tabelog.com/tokyo/A1303/A130303/13004636/,https://tabelog.com/en/tokyo/A1303/A130303/13004636/,東京都渋谷区代官山町20-20 モンシェリー代官山 B1F,35.648076,139.702266,東京都,20-20 Daikanyamacho Shibuya City Tokyo-to,Tokyo,http://liga-food.com/linamha_d/
00000031,南インド料理 なんどり,minamiindoryourinandori,3.59,164,1000,1999,10000,14999,1000,1999,2000,2999,asia,https://tabelog.com/tokyo/A1323/A132303/13151371/,https://tabelog.com/en/tokyo/A1323/A132303/13151371/,東京都荒川区西尾久7-29-9,35.7506368,139.7556047,東京都,Nishiogu Arakawa City Tokyo,Tokyo,https://nandri-tokyo.com/
