store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000015,SOUP CURRY KING 本店,Supukarikingu,3.65,512,1000,1999,1000,1999,1000,1999,1000,1999,curry,https://tabelog.com/hokkaido/A0101/A010303/1006357/,https://tabelog.com/en/hokkaido/A0101/A010303/1006357/,北海道札幌市豊平区平岸三条16-1-1,43.02443,141.3678328,北海道,16-chome-1-1 Hiragishi 3 Jo Toyohira-ku Sapporo Hokkaido,Hokkaido,https://www.soupcurry-king.shop/
00000016,スパイス ポット 菊水本店,Supaisupotto,3.66,222,1000,1999,1000,1999,1000,1999,1000,1999,curry,https://tabelog.com/hokkaido/A0101/A010301/1025000/,https://tabelog.com/en/hokkaido/A0101/A010301/1025000/,北海道札幌市白石区菊水6条1丁目6-11,43.0618305,141.3762521,北海道,1-chome-6-11 Kikusui 6 Jo Shiroishi-ku Sapporo Hokkaido,Hokkaido,https://spicepot.jp/
00000017,五○堂,Gomarudou,3.64,220,1000,1999,1000,1999,1000,1999,1000,1999,curry,https://tabelog.com/hokkaido/A0101/A010104/1029487/,https://tabelog.com/en/hokkaido/A0101/A010104/1029487/,北海道札幌市中央区南8条西10丁目1277-37 カネトモビル2-１階,43.0489581,141.3438682,北海道,10 Chome Odorinishi Chuo Ward Sapporo Hokkaido,Hokkaido,
00000018,らっきょ,Rakkyo,3.64,397,1000,1999,1000,1999,1000,1999,1000,1999,curry,https://tabelog.com/hokkaido/A0101/A010204/1000164/,https://tabelog.com/en/hokkaido/A0101/A010204/1000164/,北海道札幌市西区琴似1条1-7-7 カピテーヌ琴似　１Ｆ,43.0798676,141.3082489,北海道,Kotoni 1 Jo Nishi Ward Sapporo Hokkaido,Hokkaido,http://www.spicegogo.com
00000019,タイガーカレー,Taigakare,3.66,526,1000,1999,1000,1999,1000,1999,1000,1999,curry,https://tabelog.com/hokkaido/A0101/A010201/1003065/,https://tabelog.com/en/hokkaido/A0101/A010201/1003065/,北海道札幌市北区北二十三条西4-2-3 プラザハイツ２４　１Ｆ,43.0897578,141.3443467,北海道,Kita 23 Jonishi Kita Ward Sapporo Hokkaido,Hokkaido,http://www.tigercurry.jp/
00000020,欧風カレーKEN,oufuukare-ken,3.64,392,1000,1999,1000,1999,1000,1999,1000,1999,curry,https://tabelog.com/hokkaido/A0101/A010202/1041827/,https://tabelog.com/en/hokkaido/A0101/A010202/1041827/,北海道札幌市東区北15条東1-2-17 イースタンビル 1F,43.0792592,141.3540988,北海道,1-chome-2-17 Kita 15 Johigashi Higashi-ku Sapporo Hokkaido,Hokkaido,
00000021,モアナマカイ珊瑚礁,moanamakaisangoshou,3.59,1329,1000,1999,2000,2999,1000,1999,2000,2999,curry,https://tabelog.com/kanagawa/A1404/A140402/14000586/,https://tabelog.com/en/kanagawa/A1404/A140402/14000586/,神奈川県鎌倉市七里ガ浜1-3-22,35.3057084,139.5089711,神奈川県,1-chome-3-22 Shichirigahama Kamakura Kanagawa,Kanagawa,http://www.sangosho.net/
00000022,カレー リーブス,curry leaves,3.62,152,1000,1999,1000,1999,1000,1999,1000,999,curry,https://tabelog.com/hokkaido/A0101/A010303/1000687/,https://tabelog.com/en/hokkaido/A0101/A010303/1000687/,北海道札幌市豊平区西岡四条7丁目7-10,43.010113,141.3874546,北海道,7-chome-7-10 Nishioka 4 Jo Toyohira-ku Sapporo Hokkaido,Hokkaido,http://curry-leaves.com
00000023,Curry House MUMBAI 松戸店,kare-hausumumbai,3.62,322,0,999,1000,1999,0,999,1000,1999,curry,https://tabelog.com/chiba/A1203/A120302/12034462/,https://tabelog.com/en/chiba/A1203/A120302/12034462/,千葉県松戸市松戸1150 ニューハイム松戸ビル 2F,35.7848401,139.9029185,千葉県,1150 Matsudo Chiba,Ciba,
00000024,スープカレーGARAKU,su-pukare-,3.61,639,1000,1999,1000,1999,1000,1999,1000,1999,curry,https://tabelog.com/hokkaido/A0101/A010103/1006746/,https://tabelog.com/en/hokkaido/A0101/A010103/1006746/,北海道札幌市中央区南2条西2-6-1 おくむらビル B1F,43.0578925,141.3551428,北海道,Minami 2 Jonishi Chuo Ward Sapporo Hokkaido,Hokkaido,http://www.s-garaku.com/
00000025,Kikuya Curry,Kikuyakari,3.69,735,1000,1999,1000,1999,1000,1999,1000,1999,curry,https://tabelog.com/kanagawa/A1401/A140102/14004143/,https://tabelog.com/en/kanagawa/A1401/A140102/14004143/,神奈川県横浜市中区野毛町4-173 天悦ビル　１０１,35.4484669,139.6270192,神奈川県,4-chome-173 Nogecho Naka-ku Yokohama Kanagawa,Kanagawa,
00000026,ハイ，ハウ アー ユー,Haihauayu,3.69,585,1000,999,1000,1999,1000,1999,1000,1999,curry,https://tabelog.com/kanagawa/A1401/A140204/14040637/,https://tabelog.com/en/kanagawa/A1401/A140204/14040637/,神奈川県横浜市港北区日吉本町1-21-5 西之蔵ビル　３Ｆ,35.5532101,139.6460362,神奈川県,1-chome-21-5 Hiyoshihoncho Kohoku Ward Yokohama Kanagawa,Kanagawa,http://www.trillcurry.com/
00000027,中華 大島,chuukaooshima,3.61,238,1000,999,1000,1999,1000,1999,1000,1999,curry,https://tabelog.com/chiba/A1203/A120301/12009777/,https://tabelog.com/en/chiba/A1203/A120301/12009777/,千葉県柏市中央1-6-4,35.8577085,139.9710013,千葉県,1-chome-6-4 Chuo Kashiwa Chiba,Ciba,
00000028,スープカレー奥芝商店 旭川亭,su-pukare-okushibashouten,3.55,227,1000,1999,1000,1999,1000,1999,1000,1999,curry,https://tabelog.com/hokkaido/A0104/A010401/1008896/,https://tabelog.com/en/hokkaido/A0104/A010401/1008896/,北海道旭川市旭町1条13-2146-14,43.7900117,142.3470777,北海道,13-chome-2146-14 Asahimachi 1 Jo Asahikawa Hokkaido,Hokkaido,https://okushiba.net/
00000029,しまや,Shimaya,3.68,557,1000,999,1000,1999,1000,1999,1000,1999,curry,https://tabelog.com/kanagawa/A1405/A140501/14068355/,https://tabelog.com/en/kanagawa/A1405/A140501/14068355/,神奈川県川崎市川崎区南町1-12,35.5273654,139.700191,神奈川県,1-12 Minamimachi Kawasaki-ku Kawasaki Kanagawa,Kanagawa,
00000030,珊瑚礁 本店,Sangoshou,3.59,900,1000,1999,2000,2999,2000,2999,2000,2999,curry,https://tabelog.com/kanagawa/A1404/A140402/14000276/,https://tabelog.com/en/kanagawa/A1404/A140402/14000276/,神奈川県鎌倉市七里ガ浜東3-1-2,35.3091008,139.516627,神奈川県,Shichirigahamahigashi Kamakura Kanagawa,Kanagawa,http://www.sangosho.net/
00000031,サリサリカリー,Sarisarikari,3.61,393,1000,1999,2000,2999,1000,1999,1000,1999,curry,https://tabelog.com/kanagawa/A1401/A140205/14064834/,https://tabelog.com/en/kanagawa/A1401/A140205/14064834/,神奈川県横浜市神奈川区西神奈川3-9-2,35.4865752,139.6262422,神奈川県,3-chome-9-2 Nishikanagawa Kanagawa-ku Yokohama Kanagawa,Kanagawa,http://salisali.web.fc2.com
00000032,ヴィラ・アフガン,Viraafugan,3.59,377,2000,2999,2000,2999,1000,1999,2000,2999,curry,https://tabelog.com/yamanashi/A1902/A190201/19000083/,https://tabelog.com/en/yamanashi/A1902/A190201/19000083/,山梨県北杜市大泉町西井出8240-3510,35.91219940000001,138.4083042,山梨県,8240-3510 Ōizumicho Nishiide Hokuto Yamanashi,Yamanashi,http://mixi.jp/view_community.pl?id=2834524
00000033,スープカリー ヒリヒリ2号,Supukarihirihirinigou,3.62,659,1000,1999,1000,1999,1000,1999,1000,1999,curry,https://tabelog.com/hokkaido/A0101/A010101/1004285/,https://tabelog.com/en/hokkaido/A0101/A010101/1004285/,北海道札幌市北区北6条西6-1-1 ＷＥＳＴ６,43.0674621,141.3459967,北海道,Kita 6 Jonishi Kita Ward Sapporo Hokkaido,Hokkaido,http://hirihiri.jp/
00000034,かれーの店 ポカラ,Karenomisepokara,3.56,161,1000,1999,1000,1999,1000,999,1000,999,curry,https://tabelog.com/kanagawa/A1407/A140701/14006400/,https://tabelog.com/en/kanagawa/A1407/A140701/14006400/,神奈川県相模原市中央区千代田3-18-14,35.5639445,139.3773207,神奈川県,Chiyoda Chuo Ward Sagamihara Kanagawa,Kanagawa,
00000035,イエロー,soup curry yellow,3.69,1288,1000,999,1000,1999,1000,1999,1000,1999,curry,https://tabelog.com/hokkaido/A0101/A010103/1002181/,https://tabelog.com/en/hokkaido/A0101/A010103/1002181/,北海道札幌市中央区南三条西1-12-19 エルムビル　１Ｆ,43.05682849999999,141.357365,北海道,Minami 3 Jonishi Chuo Ward Sapporo Hokkaido,Hokkaido,https://www.yellow1996.com
00000036,レッドチリ,RED CHILI,3.62,236,1000,999,1000,1999,1000,1999,1000,1999,curry,https://tabelog.com/hokkaido/A0101/A010105/1003320/,https://tabelog.com/en/hokkaido/A0101/A010105/1003320/,北海道札幌市中央区北3条西26丁目2-15 第23松井ビル Gクレフ3261F,43.0605014,141.3169777,北海道,26-chome-2-15 Kita 3 Jonishi Chuo-ku Sapporo Hokkaido,Hokkaido,http://www.redchili.red/index.html
00000037,スープカリー スアゲ プラス,Soup curry Suage+,3.69,1579,1000,1999,1000,1999,1000,1999,1000,1999,curry,https://tabelog.com/hokkaido/A0101/A010103/1006004/,https://tabelog.com/en/hokkaido/A0101/A010103/1006004/,北海道札幌市中央区南4条西5 都志松ビル 2F,43.0557369,141.3512699,北海道,Minami 4 Jonishi Chuo Ward Sapporo Hokkaido,Hokkaido,http://www.suage.info
