store_id,store_name,store_name_english,score,review_cnt,url,url_english,address,prefecture,address_english,prefecture_english,website
00000064,かえる食堂,Kaerushokudou,3.76,747,https://tabelog.com/tokyo/A1322/A132202/13030312/,https://tabelog.com/en/tokyo/A1322/A132202/13030312/,東京都豊島区池袋3-6-1 第2京花荘 1F,東京都,3-chome-6-1 Ikebukuro Toshima City Tokyo-to,Tokyo,
00000065,GOOD LUCK CURRY 恵比寿,GOOD LUCK CURRY,3.64,512,https://tabelog.com/tokyo/A1303/A130302/13209474/,https://tabelog.com/en/tokyo/A1303/A130302/13209474/,東京都渋谷区東3-21-1 アティモント恵比寿ビル 2F,東京都,3-chome-21-1 Higashi Shibuya City Tokyo-to,Tokyo,
00000066,キュイボンヌ,Kyuibonnu,3.70,497,https://tabelog.com/tokyo/A1302/A130203/13003029/,https://tabelog.com/en/tokyo/A1302/A130203/13003029/,東京都中央区日本橋茅場町1-4-6 木村実業第２ビル B1F,東京都,1-chome-4-6 Nihonbashikayabacho Chuo City Tokyo-to,Tokyo,
00000067,エチオピアカリーキッチン 高田馬場店,echiopiakari-kicchin,3.70,494,https://tabelog.com/tokyo/A1305/A130503/13006165/,https://tabelog.com/en/tokyo/A1305/A130503/13006165/,東京都新宿区西早稲田3-28-1 ミスミビル　１Ｆ,東京都,3-chome-28-1 Nishiwaseda Shinjuku City Tokyo-to,Tokyo,http://www.ethiopia-curry.com/
00000068,ヒナタ屋,HINATA-YA,3.73,371,https://tabelog.com/tokyo/A1310/A131002/13057210/,https://tabelog.com/en/tokyo/A1310/A131002/13057210/,東京都千代田区神田小川町3-10 振天堂ビル4Ｆ,東京都,3-chome-10 Kanda Ogawamachi Chiyoda City Tokyo-to,Tokyo,http://hinata-ya.info
00000069,negombo33 高円寺,Negombo33,3.72,496,https://tabelog.com/tokyo/A1319/A131904/13228221/,https://tabelog.com/en/tokyo/A1319/A131904/13228221/,東京都杉並区高円寺南4-44-3 マーキュリービル 1F,東京都,4-chome-44-3 Koenjiminami Suginami City Tokyo-to,Tokyo,http://negombo33.com/koenji/
00000070,カリカル 新橋本店,Karikaru,3.73,1397,https://tabelog.com/tokyo/A1301/A130103/13013413/,https://tabelog.com/en/tokyo/A1301/A130103/13013413/,東京都港区新橋2-20-15 新橋駅前ビル1号館 B1F,東京都,2-chome-20-15 Shinbashi Minato City Tokyo-to,Tokyo,
00000071,ブラウニー,BROWNIE,3.74,554,https://tabelog.com/tokyo/A1311/A131101/13006343/,https://tabelog.com/en/tokyo/A1311/A131101/13006343/,東京都千代田区外神田3-7-9 サンビュー外神田　１Ｆ,東京都,Sotokanda Chiyoda City Tokyo,Tokyo,
00000072,MOKUBAZA,Mokubaza,3.74,1130,https://tabelog.com/tokyo/A1309/A130901/13154685/,https://tabelog.com/en/tokyo/A1309/A130901/13154685/,東京都渋谷区神宮前2-28-12 １Ｆ,東京都,2-chome-28-12 Jingumae Shibuya City Tokyo-to,Tokyo,http://www.mokubaza.com/
00000073,プティフ・ア・ラ・カンパーニュ,Petit Feu à la Campagne,3.75,789,https://tabelog.com/tokyo/A1308/A130803/13000254/,https://tabelog.com/en/tokyo/A1308/A130803/13000254/,東京都千代田区一番町8-13 日興ロイヤルパレス一番町　１Ｆ,東京都,8-13 Ichibancho Chiyoda City Tokyo-to,Tokyo,
