store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000014,BRISK STAND,BRISK STAND,3.63,197,1000,1999,1000,1999,1000,1999,2000,2999,hamburger,https://tabelog.com/hyogo/A2801/A280102/28054419/,https://tabelog.com/en/hyogo/A2801/A280102/28054419/,兵庫県神戸市中央区元町通5-4-8 三木ビル 1F,34.6853672,135.1817556,兵庫県,5-chome-4-8 Motomachidori Chuo-ku Kobe Hyogo,Hyogo,https://lin.ee/x2Ro1ac
00000015,Reg On Diner,Reg On Diner,3.68,910,1000,1999,1000,1999,2000,2999,1000,1999,hamburger,https://tabelog.com/tokyo/A1303/A130301/13054359/,https://tabelog.com/en/tokyo/A1303/A130301/13054359/,東京都渋谷区東1-8-1 K HOUSE 1F,35.6555209,139.7098658,東京都,1-chome-8-1 Higashi Shibuya City Tokyo-to,Tokyo,http://www.regondiner.com/
00000016,クリッターズバーガー,CRITTERS BURGER,3.70,740,1000,1999,1000,1999,1000,1999,1000,1999,hamburger,https://tabelog.com/osaka/A2701/A270201/27041627/,https://tabelog.com/en/osaka/A2701/A270201/27041627/,大阪府大阪市中央区西心斎橋1-10-35 アルシュ11　１Ｆ,34.6742173,135.4986243,大阪府,1-chome-10-35 Nishishinsaibashi Chuo-ku Osaka,Osaka,http://critters.jp/
00000017,JACK's KITCHEN,JACK's KITCHEN,3.66,236,2000,2999,2000,2999,1000,1999,2000,2999,hamburger,https://tabelog.com/aichi/A2301/A230104/23052177/,https://tabelog.com/en/aichi/A2301/A230104/23052177/,愛知県名古屋市東区泉3丁目4-23 ラメゾンエスト 1階,35.1785697,136.9203869,愛知県,3-chome-4-23 Izumi Higashi-ku Nagoya Aichi,Aichi,https://www.jackskitchen-nagoya.com/
00000018,エース バーガー カフェ,Ace Burger Cafe,3.60,156,1000,1999,2000,2999,1000,1999,2000,2999,hamburger,https://tabelog.com/mie/A2403/A240301/24013160/,https://tabelog.com/en/mie/A2403/A240301/24013160/,三重県伊勢市御薗町新開725-7,34.5098317,136.7218495,三重県,725-7 Misonocho Shingai Ise Mie,Mie,http://www.ace-burger-cafe.com/
00000019,エーエス クラシックス ダイナー KOMAZAWA,AS CLASSICS DINER,3.66,898,1000,1999,1000,1999,1000,1999,1000,1999,hamburger,https://tabelog.com/tokyo/A1317/A131707/13022762/,https://tabelog.com/en/tokyo/A1317/A131707/13022762/,東京都目黒区八雲5-9-22 オリオン駒沢ビル　１Ｆ,35.6250405,139.6674712,東京都,5-chome-9-22 Yakumo Meguro City Tokyo-to,Tokyo,http://www.asclassics.com/
00000020,ラコスバーガー,RACCOS BURGER,3.66,139,1000,1999,1000,1999,1000,1999,1000,1999,hamburger,https://tabelog.com/okayama/A3301/A330101/33000365/,https://tabelog.com/en/okayama/A3301/A330101/33000365/,岡山県岡山市北区磨屋町5-19,34.6640337,133.9247705,岡山県,5-19 Togiyacho Kita-ku Okayama,Okayama,http://www.raccosburger.com
00000021,Burger Stand Tender,Burger Stand Tender,3.70,104,1000,1999,1000,1999,1000,1999,1000,1999,hamburger,https://tabelog.com/niigata/A1501/A150101/15018604/,https://tabelog.com/en/niigata/A1501/A150101/15018604/,新潟県新潟市中央区東中通1番町86-12 福住ビルⅡF1,37.9185671,139.038822,新潟県,1 Bancho-86-12 Higashinakadori Chuo-ku Niigata,Niigata,
00000022,Jack37Burger,jakkusannanaba-ga-,3.71,811,1000,1999,1000,1999,1000,1999,1000,1999,hamburger,https://tabelog.com/tokyo/A1302/A130204/13186781/,https://tabelog.com/en/tokyo/A1302/A130204/13186781/,東京都中央区日本橋小伝馬町16-16,35.6921603,139.7798155,東京都,16-16 Nihonbashikodenmacho Chuo City Tokyo-to,Tokyo,http://www.jack37burger.com
00000023,ヒッチ ハイカーズ バーガー スタンド,HITCH HIKERS BURGER STAND,3.54,34,1000,1999,1000,1999,1000,1999,1000,1999,hamburger,https://tabelog.com/gunma/A1001/A100101/10019951/,https://tabelog.com/en/gunma/A1001/A100101/10019951/,群馬県前橋市三俣町3-27-3 吉田コーポ 1F,36.3989562,139.0857111,群馬県,Mitsumatamachi Maebashi Gunma,Gunma,
00000024,バーガーマニア 恵比寿店,Burger Mania,3.59,863,1000,1999,1000,1999,1000,1999,3000,3999,hamburger,https://tabelog.com/tokyo/A1303/A130302/13166437/,https://tabelog.com/en/tokyo/A1303/A130302/13166437/,東京都渋谷区恵比寿4-9-5 マンションニュー恵比寿 1F,35.6459278,139.7132172,東京都,4-chome-9-5 Ebisu Shibuya City Tokyo-to,Tokyo,https://maniacorporation.com/burger-mania
00000025,ムースヒルズバーガー,MOOSE HILLS BURGER,3.71,567,1000,1999,1000,1999,1000,1999,2000,2999,hamburger,https://tabelog.com/yamanashi/A1903/A190303/19003886/,https://tabelog.com/en/yamanashi/A1903/A190303/19003886/,山梨県南都留郡富士河口湖町勝山3290-1,35.4866412,138.7337518,山梨県,3290-1 Katsuyama Fujikawaguchiko Minamitsuru-gun Yamanashi,Yamanashi,http://moosehills.jp/
00000026,ジャックスピザアンドバーガーズ,jack's pizza and burgers,3.66,270,1000,1999,1000,1999,1000,1999,1000,1999,hamburger,https://tabelog.com/hyogo/A2803/A280304/28034838/,https://tabelog.com/en/hyogo/A2803/A280304/28034838/,兵庫県尼崎市南塚口町2-24-12 ハピネス南塚口 1F,34.7500914,135.4159227,兵庫県,24-12 Minamitsukaguchicho 2-chome Amagasaki Hyogo,Hyogo,http://jacks-pizza-burgers.com/
00000027,1/3 HAMBURGER FACTORY,1::3 HAMBURGER FACTORY,3.55,38,1000,1999,1000,1999,2000,2999,2000,2999,hamburger,https://tabelog.com/ishikawa/A1701/A170101/17013126/,https://tabelog.com/en/ishikawa/A1701/A170101/17013126/,石川県金沢市畝田東4-1125,36.599143,136.6122782,石川県,4 Chome Unedahigashi Kanazawa Ishikawa,Ishikawa,http://3bun-1.com/
00000028,チョッパーズ,CHOPPERS,3.63,146,1000,1999,1000,1999,1000,1999,1000,1999,hamburger,https://tabelog.com/saitama/A1106/A110601/11040099/,https://tabelog.com/en/saitama/A1106/A110601/11040099/,埼玉県所沢市小手指町3-11-19 メイゾン小手指弐番館 1F,35.8009108,139.4345672,埼玉県,Kotesashicho Tokorozawa Saitama,Saitama,
00000029,THE BURGER HEARTS,Zabagahatsu,3.74,141,1000,1999,1000,1999,1000,1999,1000,1999,hamburger,https://tabelog.com/iwate/A0304/A030403/3005292/,https://tabelog.com/en/iwate/A0304/A030403/3005292/,岩手県大船渡市盛町字町9-5,39.0870298,141.7094446,岩手県,Machi-9-5 Sakaricho Ōfunato-shi Iwate,Iwate,
00000030,コディーズ,Kodhizu,3.68,260,1000,1999,1000,1999,1000,1999,2000,2999,hamburger,https://tabelog.com/kanagawa/A1401/A140105/14077868/,https://tabelog.com/en/kanagawa/A1401/A140105/14077868/,神奈川県横浜市中区新山下1-5-7,35.4420488,139.6547647,神奈川県,1-chome-5-7 Shinyamashita Naka-ku Yokohama Kanagawa,Kanagawa,
00000031,バーガーマニア 白金店,Burger Mania,3.66,613,1000,1999,1000,1999,1000,1999,2000,2999,hamburger,https://tabelog.com/tokyo/A1316/A131602/13047335/,https://tabelog.com/en/tokyo/A1316/A131602/13047335/,東京都港区白金6-5-7,35.6442872,139.7254175,東京都,Shirokane Minato City Tokyo,Tokyo,http://www.burger-mania.com
